text,label
yeni telefon tanitildi,KJ METIN
kripto para dustu,KJ METIN
yatirimci panik,KJ METIN
borsa dusus,KJ METIN
endeks yukseldi,KJ METIN
hisse senedi,KJ METIN
turizm rekoru,KJ METIN
otel doluluk orani,KJ METIN
ucak seferi iptal,KJ METIN
tren seferleri,KJ METIN
metro arizasi,KJ METIN
yol calismasi,KJ METIN
kopru acildi,KJ METIN
tunel hizmete girdi,KJ METIN
havalimani yogun,KJ METIN
pasaport randevu,KJ METIN
nufus mudurlugu,KJ METIN
belediye hizmeti,KJ METIN
cop toplama,KJ METIN
su kesintisi,KJ METIN
elektrik kesintisi,KJ METIN
dogalgaz zammi,KJ METIN
akaryakit fiyati,KJ METIN
market zammi,KJ METIN
kira artisi,KJ METIN
konut satisi,KJ METIN
otomobil satisi,KJ METIN
ikinci el piyasa,KJ METIN
sifir arac,KJ METIN
elektrikli arac,KJ METIN
trafik cezasi,KJ METIN
ehliyet sinavi,KJ METIN
surucu kursu,KJ METIN
universite sinavi,KJ METIN
lise yerlestirme,KJ METIN
okul kayitlari,KJ METIN
ogretmen atamasi,KJ METIN
ogrenci grevi,KJ METIN
universite rektoru,KJ METIN
saglik calisani,KJ METIN
doktor atamasi,KJ METIN
hastane acildi,KJ METIN
ameliyat bekleyen,KJ METIN
randevu sistemi,KJ METIN
asi kampanyasi,KJ METIN
grip vakasi,KJ METIN
salgina karsi,KJ METIN
karantina karari,KJ METIN
maske zorunlulugu,KJ METIN
organ nakli,KJ METIN
kan bagisi,KJ METIN
futbol maci,KJ METIN
basketbol finali,KJ METIN
voleybol sampiyonu,KJ METIN
milli takim,KJ METIN
teknik direktor istifa,KJ METIN
transfer resmilesti,KJ METIN
derbi maci,KJ METIN
sampiyonluk kutlamasi,KJ METIN
taraftar gerginligi,KJ METIN
stadyum olayi,KJ METIN
film festivali,KJ METIN
konser iptal,KJ METIN
tiyatro oyunu,KJ METIN
kitap fuarı,KJ METIN
muzik yarismasi,KJ METIN
unlu sanatci,KJ METIN
oyuncu galasi,KJ METIN
dizi finali,KJ METIN
reytin rekoru,KJ METIN
sosyal medya,KJ METIN
influencer skandali,KJ METIN
viral video,KJ METIN
trend topic,KJ METIN
platform duzenlemesi,KJ METIN
icerik moderasyonu,KJ METIN
hesap kapatildi,KJ METIN
para cezasi,KJ METIN
dava acildi,KJ METIN
tazminat odendi,KJ METIN
uzlasma saglandi,KJ METIN
